tweet_id,username,tweet_url,tweet_text,tweet_datetime,number_of_likes,no_of_retweets,no_of_replies
1382516222839959554,NWestoll,/NWestoll/status/1382516222839959554,"A stunning statement out of Grey Bruce. The local public health unit has declared a critical #COVID19  threshold.""Everyone across Grey Bruce needs to consider themselves a carrier for the next 48 hours until we reach all cases and their contacts."" https:// globalnews.ca/news/7759069/c ovid-grey-bruce-health-unit-critical-threshold/   …",2021-04-14 19:08:48,50,53,1
1382531878851276800,arunbothra,/arunbothra/status/1382531878851276800,Black marketing of #COVID19  related medicines is in full swing. There is no end to human greed.,2021-04-14 20:11:00,2,0,0
1382531889567703052,IndiaToday,/IndiaToday/status/1382531889567703052,Research conducted by the public health institute Fiocruz into the variants circulating in #Brazil  found mutations in the spike region of the virus that is used to enter and infect cells.#COVID19   https://www. indiatoday.in/coronavirus-ou tbreak/story/brazil-s-p1-coronavirus-variant-mutating-may-become-more-dangerous-study-1791057-2021-04-15   …,2021-04-14 20:11:03,0,1,0
1382530674129661957,ANI,/ANI/status/1382530674129661957,"Maharashtra: 284 active cases of #COVID19  currently in prisons across the state, including 198 inmates and 86 members of jail staff. 15 deaths reported, comprising 7 prisoners and 8 jail staff. 1326 prisoners and 3112 jail staff vaccinated so far.",2021-04-14 20:06:13,79,10,2
1382512360678686726,DrLeanaWen,/DrLeanaWen/status/1382512360678686726,More & more evidence that outdoors is the way to go to substantially reduce #covid19  transmission. Very few outbreaks linked to purely outdoor activities. Thank goodness spring is here! @karinbrulliard  @LennyMBernstein https://www. washingtonpost.com/health/2021/04 /13/covid-outside-safety/   …,2021-04-14 18:53:27,408,80,9
1382445032242868225,DrLeanaWen,/DrLeanaWen/status/1382445032242868225,"BREAKING: After 4 hours of thoughtful discussion, CDC ACIP decides not to provide a recommendation at this time regarding the Johnson & Johnson #covid19  #vaccine  pause. Plan to gather more data including risk/benefit analysis and reconvene in 7-10 days. Pause remains in effect.",2021-04-14 14:25:54,863,293,45
1382494069507575811,j_mcelroy,/j_mcelroy/status/1382494069507575811,"The newest weekly reports on #COVID19  cases in all local health areas in B.C. is out, and there is very good news for Prince Rupert. Two weeks removed from 85% of adults getting a vaccine shot, the community's weekly total of new cases is down 77% from its peak.  pic.twitter.com/2ze2rSUg17",2021-04-14 17:40:46,444,79,15
1382528112894873601,Khalsa_Aid,/Khalsa_Aid/status/1382528112894873601,Our @KhalsaAid_AU  volunteers delivered 1000s of food parcels to the international students during #COVID19  pandemic!Thank you guys    pic.twitter.com/rta8O1voPQ,2021-04-14 19:56:02,54,11,0
1382492294587252736,ANCALERTS,/ANCALERTS/status/1382492294587252736,"Dr. Gene Nisperos, who works at the UP-PGH airs his disappointment about the hospital admission of Harry Roque, saying that at that time, the presidential spokesperson ""does not look like he was in dire need of hospitalization."" #COVID19  #ANCMattersOfFact pic.twitter.com/ImN3XxRluL",2021-04-14 17:33:43,361,131,20
1382442577413087233,IrsAman,/IrsAman/status/1382442577413087233,Can steam inhalation save u from #Covid19  ??? Have a read ...  pic.twitter.com/yYyM9a7wPi,2021-04-14 14:16:09,56,18,3
1382528387231539202,vijaita,/vijaita/status/1382528387231539202,"""job status low, salaries lower"" via HT.#COVID19   pic.twitter.com/QTgqwn6gj2",2021-04-14 19:57:08,32,10,2
1382476261377728522,CTZebra,/CTZebra/status/1382476261377728522,"Abby Andres, 62yo Nurse, BayCare Health System, Clearwater, FL, died of #covid19  3/19. She was outgoing, funny, generous, and compassionate. Her husband was  also hospitalized. #healthcareheroes  #WearAMask   https://www. legacy.com/obituaries/tam pabaytimes/obituary.aspx?n=abby-andres&pid=198180933&fhid=16802   … pic.twitter.com/Q4JAdzk6Bf",2021-04-14 16:30:00,181,33,2
1382515523464818689,ndtv,/ndtv/status/1382515523464818689,A retired soldier suffering from #Covid19  died without any treatment at a hospital in Bihar on Wednesday. The incident was reported from Patna's Nalanda Medical College and Hospital.Read here:  https://www. ndtv.com/india-news/for mer-soldier-dies-of-covid-as-bihar-hospital-preps-for-ministers-visit-2413500   … pic.twitter.com/22q3VJIkbS,2021-04-14 19:06:01,289,94,14
1382460122086146049,SharkawyMD,/SharkawyMD/status/1382460122086146049,Fact: Vaccines are neither 100% effective or 100% safeFact: All approved vaccines are 100% protective vs serious illness or death due to #COVID19  Fact: A woman < 55 should still make an INFORMED choice regarding which vaccine is best for her 1/,2021-04-14 15:25:52,393,77,15
1382444727371374594,BawaNaaved,/BawaNaaved/status/1382444727371374594,"Wow a Covid Center has been set up by the #Muslims  at Jahangirpura Mosque in Mughalwada area, in which people with positive cases of Corona will be admitted and given oxygen by a team of doctors and staff. The Covid Center will have 5 doctors, nursing staff and 50 beds. #COVID19   pic.twitter.com/GE6Ub56IIU",2021-04-14 14:24:42,72,25,0
1382430854622892033,Laurie_Garrett,/Laurie_Garrett/status/1382430854622892033,"Sweden flirted w/#COVID19  herd immunity in 2020.Now the country, ""has a 7-day average of 625 new infections per million people.""Compares with- 521 in Poland- 491 France- 430 Netherlands- 237 Italy- 208 Germany- 132 Norway- 111 Denmark- 65 Finland https://www. theguardian.com/world/2021/apr /13/sweden-has-highest-new-covid-cases-per-person-in-europe   …",2021-04-14 13:29:34,343,219,25
1382491360238870531,CTZebra,/CTZebra/status/1382491360238870531,"Deborah Brummett, 62yo RN/Nurse Supervisor, Riverside Center, Albany, NY, died of #covid19  1/14. She was a talented seamstress, singer, gardener, & researcher. She was intelligent, adventurous, fun-seeking & loved a solo road trip #healthcareheroes   https://www. sbfuneralhome.com/m/obituaries/D eborah-Brummett/MemorialMedias   … pic.twitter.com/cfDZwurchK",2021-04-14 17:30:00,311,65,13
1382480051074068481,JaroGiesbrecht,/JaroGiesbrecht/status/1382480051074068481,Canada is now second to only the  USA among the G7 countries for daily administration of #COVID19  vaccine doses. #Cdnpoli pic.twitter.com/uFVWbLdryY,2021-04-14 16:45:04,70,43,3
