Link,Id,User name,time,Tweet,Likes,Replies,Retweets
https://mobile.twitter.com/imVkohli/status/1381594551551336451,1381594551551336451,@imVkohli,2021-04-12T13:06:24.000Z,Virat Kohli @imVkohli · 11h Participate in the VIVO IPL #PerfectFan contest  answer simple questions and get a chance to meet me!  Are you the perfect fan I’m looking for?  Check out this video from  @Vivo_India  and find out more. 312 1.4K 16.7K, 16756 likes,312 replies, 1435 Retweets
https://mobile.twitter.com/imVkohli/status/1380750268996841473,1380750268996841473,@imVkohli,2021-04-10T05:11:31.000Z,Virat Kohli @imVkohli · Apr 10 Partnership is everything.  We'll find the perfect pair of PUMA Nitros together. Click on the link and let's get talking.  @PUMA  #RunPUMA Link : https://go.puma.com/ViratNitroChat 634 3.1K 61.3K, 61329 likes,634 replies, 3111 Retweets
https://mobile.twitter.com/imVkohli/status/1380587067772559360,1380587067772559360,@imVkohli,2021-04-09T18:23:01.000Z,Virat Kohli @imVkohli · Apr 9 Tough game but happy to be on the winning side.  #playbold @RCBTweets 2.7K 11.8K 169.1K, 169136 likes,2725 replies, 11865 Retweets
https://mobile.twitter.com/imVkohli/status/1380451732690411521,1380451732690411521,@imVkohli,2021-04-09T09:25:15.000Z,Virat Kohli @imVkohli · Apr 9 Never seen this side of Rahul bhai  4K 28.8K 198.6K, 198623 likes,4036 replies, 28844 Retweets
