Link,Id,User name,time,Tweet,Likes,Replies,Retweets
https://mobile.twitter.com/KxngJam3s/status/1381654897037299712,1381654897037299712,@KxngJam3s,2021-04-12T17:06:12.000Z,Jimmy with the stimmy @KxngJam3s · 7h So y’all mad at Usher for using made up currency but praise Elon Musk for making y’all buy Bitcoin 64 1.2K 2.8K Show this thread, 2852 likes,64 replies, 1235 Retweets
https://mobile.twitter.com/mariana057/status/1381664234963152897,1381664234963152897,@mariana057,2021-04-12T17:43:18.000Z,mariana Z @mariana057 · 6h Why don't Teslas have that new car smell? They have more of an Elon Musk. 25 22 192, 192 likes,25 replies, 22 Retweets
https://mobile.twitter.com/BillyM2k/status/1381655417898471426,1381655417898471426,@BillyM2k,2021-04-12T17:08:16.000Z,Shibetoshi Nakamoto @BillyM2k · 7h this is a totally real picture of me and  @elonmusk  making dogecoin 70 208 1K, 1096 likes,70 replies, 208 Retweets
https://mobile.twitter.com/futurism/status/1381729344855416832,1381729344855416832,@futurism,2021-04-12T22:02:01.000Z,Futurism @futurism · 2h Bernie just clobbered Elon for funding space travel while children go hungry. Bernie Sanders Slams Elon Musk for “Unsustainable” Greed Senator Bernie Sanders suplexed tech billionaire Elon Musk in a Sunday tweet  excoriating the SpaceX CEO for pouring money into interplanetary space travel. futurism.com 13 11 30, 30 likes,13 replies, 11 Retweets
