Link,Id,User name,time,Tweet,Likes,Replies,Retweets
https://mobile.twitter.com/imVkohli/status/1313723789960597504,1313723789960597504,@imVkohli,2020-10-07T06:12:13.000Z,Virat Kohli @imVkohli · Oct 6  2020 With just one Wellman Tablet every day  I am able to boost my energy  support my immune system and get all the necessary nutrients that my body really needs.  So get yours now and never compromise on what you feed your body and mind.  #tablets #vitabiotics  @Wellmanin1 336 1.2K 17.6K, 17631 likes,336 replies, 1260 Retweets
https://mobile.twitter.com/imVkohli/status/1313714352843751424,1313714352843751424,@imVkohli,2020-10-07T05:34:44.000Z,Virat Kohli @imVkohli · Oct 6  2020 Many happy returns of the day fella  @ImZaheer . Wishing you a year filled with happiness and success. Enjoy the day.  565 3.8K 88.8K, 88836 likes,565 replies, 3849 Retweets
https://mobile.twitter.com/imVkohli/status/1313433427358576641,1313433427358576641,@imVkohli,2020-10-06T10:58:26.000Z,Virat Kohli @imVkohli · Oct 6  2020 Happy bday hulk   Had to post this one again for your bday because you're always grumpy and never take pictures   @buntysajdeh 624 2.6K 75.9K, 75917 likes,624 replies, 2686 Retweets
https://mobile.twitter.com/imVkohli/status/1312992692318601221,1312992692318601221,@imVkohli,2020-10-05T05:47:06.000Z,Virat Kohli @imVkohli · Oct 4  2020 Many Happy Returns of the Day  @Sundarwashi5  . Have a great year ahead  910 5.1K 109.4K, 109473 likes,910 replies, 5195 Retweets
https://mobile.twitter.com/imVkohli/status/1312673715235086336,1312673715235086336,@imVkohli,2020-10-04T08:39:36.000Z,Virat Kohli @imVkohli · Oct 4  2020 Happy Birthday  @RishabhPant17  2K 7.3K 160.1K, 160128 likes,2046 replies, 7330 Retweets
https://mobile.twitter.com/imVkohli/status/1312635709241524225,1312635709241524225,@imVkohli,2020-10-04T06:08:35.000Z,Virat Kohli @imVkohli · Oct 3  2020 Fire on ice  these boots from  @pumacricket  mean serious business   #one8 #playtoslay #IPL2020 https://go.puma.com/hd9m 407 1.6K 26.5K, 26566 likes,407 replies, 1684 Retweets
https://mobile.twitter.com/imVkohli/status/1312409376989171712,1312409376989171712,@imVkohli,2020-10-03T15:09:13.000Z,Virat Kohli @imVkohli · Oct 3  2020 Solid team effort. Let's keep working hard.    @RCBTweets  #PlayBold 2K 10.1K 137.1K, 137107 likes,2042 replies, 10192 Retweets
https://mobile.twitter.com/imVkohli/status/1311913329904898049,1311913329904898049,@imVkohli,2020-10-02T06:18:06.000Z,Virat Kohli @imVkohli · Oct 1  2020 Happy Gandhi Jayanti to all.  Jai Hind  2.8K 7.5K 144.6K, 144655 likes,2846 replies, 7590 Retweets
https://mobile.twitter.com/imVkohli/status/1311606853948776453,1311606853948776453,@imVkohli,2020-10-01T10:00:17.000Z,Virat Kohli @imVkohli · Oct 1  2020 The most special thing about sport is the friendship and mutual respect you share with your teammates along your journey.  Sport is beautiful  AB de Villiers 1.9K 12.1K 165.7K, 165754 likes,1961 replies, 12133 Retweets
https://mobile.twitter.com/imVkohli/status/1311217901878222849,1311217901878222849,@imVkohli,2020-09-30T08:14:43.000Z,Virat Kohli @imVkohli · Sep 30  2020 I’m thrilled to announce that Wrogn  is now available in the UAE and Saudi Arabia  ! So  guys  get on the WROGN side with me!  Visit http://bit.ly/WRGxNAM to check out the entire collection today.  #StayMad #StayWrogn  @StayWrogn 438 1.6K 24.5K, 24533 likes,438 replies, 1614 Retweets
https://mobile.twitter.com/imVkohli/status/1310927263626489859,1310927263626489859,@imVkohli,2020-09-29T12:59:50.000Z,Virat Kohli @imVkohli · Sep 29  2020 What happened in #Hathras is inhumane and goes beyond cruelty. Hope the culprits of this heinous crime will be brought to justice. #JusticeForManishaValmiki 3.5K 31.5K 185.4K, 185478 likes,3591 replies, 31562 Retweets
https://mobile.twitter.com/imVkohli/status/1310652878210523136,1310652878210523136,@imVkohli,2020-09-28T18:49:31.000Z,Virat Kohli @imVkohli · Sep 28  2020 Thrilling game of cricket. Proud of the character shown by the team.   @RCBTweets  #PlayBold 4K 14.7K 185.5K, 185595 likes,4071 replies, 14707 Retweets
https://mobile.twitter.com/imVkohli/status/1309801090171326464,1309801090171326464,@imVkohli,2020-09-26T10:24:49.000Z,Virat Kohli @imVkohli · Sep 26  2020 Unity is the vehicle  desire is the fuel. 2.5K 7.3K 142.7K, 142723 likes,2573 replies, 7349 Retweets
https://mobile.twitter.com/imVkohli/status/1309736646993014784,1309736646993014784,@imVkohli,2020-09-26T06:08:45.000Z,Virat Kohli @imVkohli · Sep 25  2020 Play your best  the #one8 way.   #one8 fragrances  your secret to confidence! Get your fragrance from  -  https://bit.ly/301sWNO  @ScentialsWorld  @one8world 584 1.4K 24.3K, 24365 likes,584 replies, 1495 Retweets
https://mobile.twitter.com/imVkohli/status/1309083592367263744,1309083592367263744,@imVkohli,2020-09-24T10:53:44.000Z,Virat Kohli @imVkohli · Sep 24  2020 Shocked to hear about the tragic loss of Dean Jones. Praying for strength and courage to his family and friends.  1.5K 8.2K 153.2K, 153269 likes,1557 replies, 8238 Retweets
https://mobile.twitter.com/imVkohli/status/1307290179556630528,1307290179556630528,@imVkohli,2020-09-19T12:07:21.000Z,Virat Kohli @imVkohli · Sep 19  2020 Brothers in the air   @ABdeVilliers17 AB de Villiers 2.4K 13.7K 206.2K, 206220 likes,2490 replies, 13721 Retweets
https://mobile.twitter.com/imVkohli/status/1306903656139120641,1306903656139120641,@imVkohli,2020-09-18T10:31:27.000Z,Virat Kohli @imVkohli · Sep 18  2020 The new RCB Anthem is here!   It celebrates our fans  who we proudly call our 12th Man  and emphasises on the #PlayBold  attitude & the Challenger Spirit that we believe in. Can’t wait to get on the field!    #RCB  #WeAreChallengers 1.3K 5.7K 56.6K, 56660 likes,1300 replies, 5762 Retweets
https://mobile.twitter.com/imVkohli/status/1306835483947757568,1306835483947757568,@imVkohli,2020-09-18T06:00:33.000Z,Virat Kohli @imVkohli · Sep 17  2020  #SockThem Sunil Chhetri @chetrisunil11  · Sep 17  2020 For someone who wields the willow  that was a quality delivery  champ   But taking a cue from you  I'm going to let my bat do the talking.  @pumacricket @puma #SockThem  twitter.com/imVkohli/statu… 181 1.1K 29.2K, 29299 likes,181 replies, 1154 Retweets
https://mobile.twitter.com/imVkohli/status/1306478013781962752,1306478013781962752,@imVkohli,2020-09-17T06:20:06.000Z,Virat Kohli @imVkohli · Sep 16  2020 Presenting my signature style  for the #SELFMADE.  Everyone has a story  so share yours by posting your picture tagging  @philipsindia  and me to get a chance to get featured on their Instagram page. Inspire the world with your success stories.  371 1.6K 21.9K, 21943 likes,371 replies, 1677 Retweets
